,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
1,2.0,1.0,5.0,2.0,5.0,2.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0
5,4.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0
7,2.0,3.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0
11,3.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0
14,3.0,1.0,4.0,1.0,5.0,2.0,5.0,2.0,5.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
18,3.0,1.0,4.0,2.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,2.0,1.0
23,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0
24,2.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,1.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0
26,1.0,1.0,3.0,2.0,5.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0
30,2.0,3.0,5.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0
32,1.0,1.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0
36,5.0,3.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0
44,4.0,4.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0
45,3.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0
49,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0
65,2.0,1.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0
68,3.0,1.0,1.0,2.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,1.0,3.0,1.0,4.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0
70,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,3.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,1.0,5.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
78,4.0,2.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,2.0,1.0,5.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,2.0,1.0,2.0
84,5.0,1.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,1.0,2.0,5.0,3.0,5.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0
91,5.0,3.0,5.0,3.0,5.0,1.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
100,3.0,1.0,3.0,2.0,5.0,1.0,4.0,5.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
101,3.0,2.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0
113,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0
114,3.0,2.0,5.0,1.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,3.0,1.0,2.0
118,4.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,5.0,3.0,1.0,5.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0
120,2.0,1.0,3.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0
127,4.0,2.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0
130,2.0,4.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,4.0,2.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0
138,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,2.0,3.0,2.0,1.0
139,2.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,3.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0
140,3.0,1.0,4.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0
143,2.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0
144,2.0,3.0,5.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0
154,4.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0
159,4.0,3.0,5.0,3.0,5.0,1.0,4.0,2.0,5.0,2.0,4.0,4.0,2.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0
163,2.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,3.0
166,3.0,1.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,5.0,2.0,4.0,3.0,2.0,1.0,5.0,1.0
186,3.0,1.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,5.0,1.0,3.0,1.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
187,2.0,2.0,1.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
193,2.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,3.0,1.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0
198,1.0,1.0,2.0,1.0,5.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0
204,4.0,2.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
218,4.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
224,4.0,2.0,5.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,5.0,5.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0
232,3.0,1.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,5.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0
238,3.0,2.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,1.0,4.0,5.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0
239,3.0,2.0,5.0,2.0,5.0,2.0,2.0,3.0,5.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0
243,3.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,5.0,2.0,1.0
245,4.0,3.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0
255,4.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0
257,2.0,1.0,5.0,1.0,5.0,2.0,3.0,2.0,5.0,4.0,3.0,2.0,5.0,1.0,3.0,5.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0
262,4.0,1.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,5.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0
264,3.0,3.0,5.0,2.0,5.0,2.0,5.0,1.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0
266,3.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0
267,2.0,1.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0
269,3.0,2.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,1.0,4.0,5.0,2.0,2.0,5.0,1.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0
275,2.0,1.0,4.0,2.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0,2.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0
280,1.0,1.0,5.0,2.0,5.0,2.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0
283,2.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0
286,3.0,1.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,4.0,5.0,1.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0
291,2.0,3.0,5.0,2.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0
293,5.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,5.0,2.0,3.0,2.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0
299,3.0,1.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,2.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0
303,1.0,1.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0
304,5.0,1.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,2.0,2.0,5.0,3.0,4.0,1.0,5.0,2.0,1.0,3.0,3.0,4.0
305,4.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0
307,1.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,2.0,5.0,5.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0
314,3.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,1.0
317,3.0,2.0,5.0,1.0,5.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0
325,4.0,3.0,4.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
330,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,2.0,1.0,5.0,5.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,1.0
333,3.0,1.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,5.0,1.0,5.0,4.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0
334,3.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
339,3.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0
343,3.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,1.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0
344,1.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,3.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0
345,1.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,3.0,1.0,4.0,5.0,2.0,1.0,5.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0
